14000,15000,1,10
57000,58000,1,501
81000,82000,1,185
82000,83000,1,312
116000,117000,1,406
120000,121000,1,395
130000,131000,1,426
148000,149000,1,163
152000,153000,1,171
186000,187000,1,354
195000,196000,1,519
205000,206000,1,160
210000,211000,1,221
221000,222000,1,45
246000,247000,1,270
252000,253000,1,100
265000,266000,1,502
292000,293000,1,124
304000,305000,1,326
305000,306000,1,281
310000,311000,1,410
320000,321000,1,475
325000,326000,1,504
328000,329000,1,5
339000,340000,1,371
371000,372000,1,167
373000,374000,1,7
377000,378000,1,123
382000,383000,1,54
412000,413000,1,439
468000,469000,1,298
475000,476000,1,143
518000,519000,1,81
534000,535000,1,258
536000,537000,1,89
550000,551000,1,327
579000,580000,1,82
614000,615000,1,51
628000,629000,1,465
647000,648000,1,484
662000,663000,1,392
721000,722000,1,102
743000,744000,1,333
747000,748000,1,513
762000,763000,1,255
787000,788000,1,365
799000,800000,1,53
810000,811000,1,149
823000,824000,1,33
849000,850000,1,508
870000,871000,1,248
884000,885000,1,147
888000,889000,1,91
914000,915000,1,455
922000,923000,1,443
923000,924000,1,378
955000,956000,1,514
957000,958000,1,169
969000,970000,1,263
994000,995000,1,242
1044000,1045000,1,58
1053000,1054000,1,206
1074000,1075000,1,388
1080000,1081000,1,469
1118000,1119000,1,299
1134000,1135000,1,389
1136000,1137000,1,125
1138000,1139000,1,25
1168000,1169000,1,71
1239000,1240000,1,369
1240000,1241000,1,423
1241000,1242000,1,446
1257000,1258000,1,182
1301000,1302000,1,309
1368000,1369000,1,288
1378000,1379000,1,296
1404000,1405000,1,180
1420000,1421000,1,95
1498000,1499000,1,148
1520000,1521000,1,21
1536000,1537000,1,511
1537000,1538000,1,271
1543000,1544000,1,269
1552000,1553000,1,199
1565000,1566000,1,422
1575000,1576000,1,27
1583000,1584000,1,322
1599000,1600000,1,481
1659000,1660000,1,176
1702000,1703000,1,291
1712000,1713000,1,83
1716000,1717000,1,66
1732000,1733000,1,254
1865000,1866000,1,130
1866000,1867000,1,251
1878000,1879000,1,35
1999000,2000000,1,396
2000000,2001000,1,382
2023000,2024000,1,17
2062000,2063000,1,227
2099000,2100000,1,41
2121000,2122000,1,470
2127000,2128000,1,229
2147000,2148000,1,103
2153000,2154000,1,297
2200000,2201000,1,29
2206000,2207000,1,373
2276000,2277000,1,210
2294000,2295000,1,459
2298000,2299000,1,232
