523,2023/5/19,3,17,19,27,28,32,35,2,34,-,-,8 g,I,4868222
522,2023/5/12,1,10,12,19,22,25,37,2,34,-,-,4 g,H,1595071
521,2023/5/5,21,24,25,27,30,33,36,3,31,1,6 g,-,J,10281272
520,2023/4/28,9,22,25,28,33,34,37,15,16,1,10 g,2 g,B,9105502
519,2023/4/21,1,2,8,14,17,21,34,20,26,-,-,7 g,A,195759
518,2023/4/14,5,8,11,24,30,32,36,4,35,1,10 g,3 g,D,6388055
517,2023/4/7,3,6,10,16,26,29,31,7,24,-,-,8 g,F,4092661
516,2023/3/31,7,12,15,16,18,25,36,9,19,2,10 g,4 g,C,8049217
515,2023/3/24,3,15,17,22,26,27,28,6,8,-,-,18 g,G,4824155
514,2023/3/17,1,5,10,17,20,27,37,3,22,1,10 g,13 g,E,955300
513,2023/3/10,1,4,10,13,15,19,37,16,20,-,-,18 g,I,747175
512,2023/3/3,5,7,17,22,25,26,28,3,23,1,10 g,13 g,A,6318688
511,2023/2/24,1,9,14,24,28,36,37,16,31,-,-,18 g,H,1536604
510,2023/2/17,3,5,9,11,17,33,37,4,22,-,-,13 g,E,3895288
509,2023/2/10,10,14,22,26,27,32,33,20,37,-,-,8 g ,J,9303028
508,2023/2/3,1,5,6,9,16,26,31,25,33,1,10 g,4 g,B,849823
507,2023/1/27,4,19,25,26,30,32,36,1,15,1,10 g,8 g,F,6003692
506,2023/1/20,8,14,19,22,29,31,37,3,21,2,10 g,13 g,D,8623741
505,2023/1/13,9,10,12,15,16,28,36,1,23,-,-,27 g,C,8753610
504,2023/1/6,1,3,4,5,6,29,31,11,14,1,10 g,21 g,G,325063
503,2022/12/30,5,7,8,13,23,26,33,31,37,-,-,25 g,B,6206037
502,2022/12/23,1,2,12,17,21,22,33,4,30,-,-,19 g,I,265988
501,2022/12/16,1,2,4,7,12,14,31,30,33,1,10 g,13 g,A,57332
500,2022/12/9,17,18,24,30,31,32,35,6,36,-,-,18 g,E,10189466
499,2022/12/2,5,9,14,18,27,32,34,6,12,-,-,13 g,H,6515218
498,2022/11/25,6,8,12,20,21,24,29,4,18,-,-,8 g,F,7134721
497,2022/11/18,18,20,24,26,27,30,33,17,19,-,-,4 g,J,10230946
496,2022/11/11,5,8,15,18,25,27,36,10,26,2,4 g,-,D,6424120
495,2022/11/4,2,16,19,20,22,33,36,6,32,-,-,4 g,C,3505278
494,2022/10/28,7,9,12,22,28,29,32,17,19,2,3 g,-,A,7828320
493,2022/10/21,5,13,14,20,21,25,31,9,36,-,-,4 g,B,6758359
492,2022/10/14,7,10,12,15,23,31,37,9,18,1,3 g,-,I,7902838
491,2022/10/7,3,14,17,21,22,32,35,6,30,1,7 g,-,F,4797118
490,2022/9/30,12,14,18,21,23,29,37,7,15,0,-,4 g,E,9699985
489,2022/9/23,3,6,7,15,25,29,31,8,14,1,3 g,-,G,4029500
488,2022/9/16,3,13,16,18,19,20,35,2,11,1,3 g,-,B,4756081
487,2022/9/9,9,10,13,15,26,34,37,22,36,1,5 g,-,H,8765435
486,2022/9/2,8,13,15,23,24,31,35,14,19,2,10 g,1 g,D,8572458
485,2022/8/26,4,6,17,20,22,24,26,8,9,-,-,16 g,G,5268715
484,2022/8/19,1,4,6,9,13,22,31,29,30,2,10 g,10 g,C,647703
483,2022/8/12,2,11,20,23,25,36,37,29,34,1,10 g,24 g,J,3333313
482,2022/8/5,2,5,14,15,17,19,36,8,34,1,10 g,29 g,I,2622502
481,2022/7/29,1,10,13,14,16,25,27,5,21,-,-,30 g,F,1599017
480,2022/7/22,10,13,19,21,26,30,36,22,34,-,-,27 g,F,9262271
479,2022/7/15,8,11,13,18,24,30,31,21,23,1,10 g,20 g,E,8457769
478,2022/7/8,6,8,11,13,16,20,32,12,34,-,-,25 g,A,7113000
477,2022/7/1,2,5,9,19,25,32,37,7,29,-,-,19 g,H,2563190
476,2022/6/24,4,7,9,15,22,24,31,21,37,1,10 g,14 g,B,5323515
475,2022/6/17,1,2,22,24,26,31,37,12,19,-,-,18 g,I,320734
