['1708', '2022/07/21', '01', '20', '29', '35', '40', '41', '16', 'F', '815957']	22	22	24	24	24	24	25	25	26	26	26	26	27	27	27	27	28	28	30	30	30	30	30	30	30	30	31	31	33	33	222	223	226	230	238	242
['1708', '2022/07/21', '16', '18', '22', '24', '27', '37', '', '', '5740234']	20	20	25	25	25	25	28	28	29	29	29	29	29	29	30	30	31	31	33	33	34	34	34	34	35	35	37	37	37	37	231	242	242	243	253	259
['1708', '2022/07/21', '16', '18', '24', '29', '31', '40', '', '', '5743005']	19	19	21	21	23	23	25	25	25	25	26	26	26	26	27	27	29	29	29	29	29	29	29	29	29	29	30	30	31	31	222	223	231	231	242	243
['1708', '2022/07/21', '16', '18', '27', '30', '31', '40', '', '', '5745139']	19	19	22	22	23	23	23	23	25	25	28	28	29	29	29	29	29	29	30	30	33	33	34	34	34	34	35	35	37	37	222	231	231	237	242	253
['1708', '2022/07/21', '15', '16', '25', '27', '29', '37', '', '', '5635267']	24	24	25	25	25	25	26	26	27	27	27	27	28	28	29	29	29	29	31	31	31	31	34	34	36	36	37	37	38	38	223	232	242	247	253	259
['1708', '2022/07/21', '15', '16', '23', '27', '30', '39', '', '', '5633497']	22	22	22	22	23	23	26	26	26	26	27	27	28	28	31	31	34	34	34	34	35	35	35	35	36	36	37	37	40	40	237	241	242	244	247	253



(5573159, 14, 19, 23, 25, 28, 38, '', '')	23	23	24	24	27	27	28	28	30	30	30	30	31	31	31	31	31	31	32	32	33	33	33	33	35	35	37	37	38	38	232	234	240	244	251	254

(5578836, 14, 19, 35, 37, 40, 42, '', '')	24	24	25	25	25	25	25	25	27	27	27	27	27	27	29	29	30	30	31	31	31	31	33	33	34	34	34	34	36	36	222	234	238	245	251	259

(5577883, 14, 19, 29, 36, 38, 42, '', '')	21	21	23	23	23	23	25	25	25	25	27	27	27	27	29	29	29	29	30	30	31	31	31	31	31	31	32	32	33	33	223	234	235	245	251	254

(5576418, 14, 19, 26, 33, 38, 41, '', '')	21	21	24	24	25	25	25	25	28	28	28	28	28	28	29	29	29	29	29	29	30	30	31	31	31	31	32	32	33	33	224	226	234	238	251	254

(5573934, 14, 19, 23, 33, 35, 40, '', '')	25	25	25	25	26	26	27	27	28	28	28	28	29	29	30	30	30	30	31	31	31	31	31	31	31	31	33	33	34	34	222	224	234	238	244	251

(5577085, 14, 19, 27, 37, 40, 41, '', '')	24	24	25	25	25	25	25	25	25	25	25	25	28	28	28	28	29	29	29	29	30	30	33	33	34	34	34	34	34	34	222	226	234	251	253	259

(5573525, 14, 19, 23, 27, 42, 43, '', '')	22	22	25	25	26	26	27	27	28	28	30	30	31	31	31	31	31	31	31	31	32	32	32	32	33	33	34	34	34	34	234	244	245	250	251	253

(5577801, 14, 19, 29, 33, 39, 41, '', '')	21	21	21	21	22	22	24	24	25	25	28	28	28	28	29	29	29	29	29	29	29	29	30	30	30	30	31	31	33	33	223	224	226	234	241	251

(5572167, 14, 19, 22, 26, 29, 36, '', '')	23	23	23	23	25	25	25	25	28	28	28	28	29	29	30	30	30	30	30	30	31	31	32	32	32	32	33	33	38	38	223	234	235	238	242	251

(5571267, 14, 19, 21, 30, 32, 36, '', '')	20	20	20	20	23	23	26	26	26	26	28	28	29	29	29	29	30	30	30	30	32	32	32	32	32	32	32	32	40	40	234	235	237	244	247	251

(5569562, 14, 19, 20, 28, 32, 40, '', '')	20	20	25	25	26	26	28	28	29	29	29	29	29	29	30	30	30	30	30	30	32	32	33	33	35	35	37	37	38	38	222	234	240	242	244	251
