391,2020/10/23,1,9,10,17,18,24,35
391,2020/10/23,6,7,9,15,22,27,35
391,2020/10/23,3,13,14,15,24,30,32
391,2020/10/23,3,7,9,10,21,30,34
391,2020/10/23,8,11,18,22,24,32,35
391,2020/10/23,8,9,13,14,22,24,35
391,2020/10/23,4,9,11,23,24,34,35
390,2020/10/16,3,4,18,21,30,34,37
390,2020/10/16,8,9,13,14,22,24,35
390,2020/10/16,4,9,11,23,24,34,35
390,2020/10/16,6,8,9,11,18,25,28
390,2020/10/16,2,5,17,24,26,31,36
390,2020/10/16,1,7,14,19,20,35,36
390,2020/10/16,1,11,13,14,15,23,28
390,2020/10/16,3,18,26,30,32,36,37
389,2020/10/09,3,11,15,16,28,29,37
389,2020/10/09,16,18,19,22,23,29,32
389,2020/10/09,8,9,13,22,28,30,37
389,2020/10/09,3,12,17,19,20,27,29
389,2020/10/09,9,10,11,13,23,27,30,6
389,2020/10/09,6,15,22,24,28,33,34
389,2020/10/09,1,5,7,14,21,32,35
389,2020/10/09,3,6,7,23,24,31,32,9
389,2020/10/09,8,9,13,14,22,24,35,9
388,2020/10/2,1,6,11,23,24,28,29
388,2020/10/2,2,3,13,14,20,21,36
388,2020/10/2,2,5,7,18,25,31,33
388,2020/10/2,4,9,22,26,27,34,35
388,2020/10/2,4,16,17,18,19,32,37
388,2020/10/2,6,10,14,23,24,30,35
388,2020/10/2,3,6,7,23,24,31,32,9
388,2020/10/2,8,9,13,14,22,24,35,9
387,2020/09/25,5,8,15,16,24,28,29
387,2020/09/25,1,7,13,19,25,26,27
387,2020/09/25,1,14,15,16,24,29,30
387,2020/09/25,9,10,11,17,25,29,37
387,2020/09/25,8,9,13,14,22,24,35,9
387,2020/09/25,3,6,7,23,24,31,32,9
386,2020/09/18,3,11,25,28,31,33,36
386,2020/09/18,12,23,24,26,27,28,32
386,2020/09/18,1,4,14,26,27,29,33
386,2020/09/18,8,10,19,21,24,29,30
386,2020/09/18,6,12,13,16,17,20,32
386,2020/09/18,3,6,7,23,24,31,32,9
386,2020/09/18,8,9,13,14,22,24,35,9
385,2020/09/11,24,26,27,28,29,30,35
385,2020/09/11,2,5,6,11,18,26,34
385,2020/09/11,13,14,15,17,25,29,32
385,2020/09/11,5,8,15,18,21,24,34
385,2020/09/11,3,8,10,14,17,34,35
385,2020/09/11,3,6,7,23,24,31,32,9
385,2020/09/11,8,9,13,14,22,24,35,9
384,2020/09/04,4,8,10,13,14,33,36
384,2020/09/04,8,14,19,22,24,26,32
384,2020/09/04,8,9,13,14,22,24,35,9
383,2020/8/28,8,11,24,25,27,29,31
383,2020/8/28,6,7,8,14,16,20,33
383,2020/8/28,1,6,14,24,25,27,29
383,2020/8/28,4,8,10,13,14,22,33
382,2020/8/21,6,7,8,14,16,20,33
382,2020/8/21,1,6,14,24,25,27,33
382,2020/8/21,5,8,15,23,29,30,35
381,2020/8/14,1,6,8,9,18,27,32,6
381,2020/8/14,8,11,24,25,27,29,31,5
381,2020/8/14,3,13,15,18,33,34,36
381,2020/8/14,3,9,12,14,29,30,35
